Name,days_served
VILIMSKY Harald,0
VIOTTI Daniele,0
VIRKKUNEN Henna,0
VISTISEN Anders Primdahl,0
VOIGT Udo,0
VOSS Axel,1813
VOZEMBERG Elissavet,0
WAŁĘSA Jarosław Leszek,1813
WARD Julie,0
WEBER Manfred,3633
WEBER Renate,2395
WEIDENHOLZER Josef,943
von WEIZSÄCKER Jakob,0
WENTA Bogdan Brunon,0
WERNER Martina,0
WESTPHAL Kerstin,1813
WIELAND Rainer,6108
WIKSTRÖM Cecilia,1813
WILLMOTT Glenis,3103
WINBERG Kristina,0
WINKLER Hermann,1813
WINKLER Iuliu,2395
WIŚNIEWSKA Jadwiga,0
WOJCIECHOWSKI Janusz,3713
WOOLFE Steven,0
ZÁBORSKÁ Anna,3713
ZAGORAKIS Theodoros,0
ZAHRADIL Jan,3713
ZALA Boris,1813
ZALBA BIDEGAIN Pablo,1813
ZANNI Marco,0
ZANONATO Flavio,0
ZARIANOPOULOS Sotirios,0
ŽDANOKA Tatjana,3633
ZDECHOVSKÝ Tomáš,0
ZDROJEWSKI Bogdan Andrzej,0
ZELLER Joachim,1813
ZEMKE Janusz Władysław,1813
ZĪLE Roberts,3633
ZIMMER Gabriele,3633
ŽITŇANSKÁ Jana,0
ZŁOTOWSKI Kosma,0
ŻÓŁTEK Stanisław,0
ZORRINHO Carlos,0
ZUBER Inês Cristina,895
ZULLO Marco,0
ZVER Milan,1813
ZWIEFKA Tadeusz,3633
Tania GONZÁLEZ PEÑAS,0
JIMÉNEZ VILLAREJO Carlos,0
TOSI Flavio,0
COUSO PERMUY Javier,0
MEYER Willy,3632
